query	entrezgene	name	symbol	alias	taxid	HGNC
A1BG	1	alpha-1-B glycoprotein	A1BG	A1B, ABG, GAB, HYST2477	9606	HGNC:5
A1CF	29974	APOBEC1 complementation factor	A1CF	ACF, ACF64, ACF65, APOBEC1CF, ASP	9606	HGNC:24086
A2M	2	alpha-2-macroglobulin	A2M	A2MD, CPAMD5, FWP007, S863-7	9606	HGNC:7
A2ML1	144568	alpha-2-macroglobulin like 1	A2ML1	CPAMD9, OMS, p170	9606	HGNC:23336
A4GALT	53947	alpha 1,4-galactosyltransferase (P blood group)	A4GALT	A14GALT, A4GALT1, Gb3S, P(k), P1	9606	HGNC:18149
A4GNT	51146	alpha-1,4-N-acetylglucosaminyltransferase	A4GNT	alpha4GnT	9606	HGNC:17968
AAAS	8086	aladin WD repeat nucleoporin	AAAS	AAA, AAASb, ADRACALA, ADRACALIN, ALADIN	9606	HGNC:13666
AACS	65985	acetoacetyl-CoA synthetase	AACS	ACSF1, SUR-5	9606	HGNC:21298
AADAC	13	arylacetamide deacetylase	AADAC	CES5A1, DAC	9606	HGNC:17
AADACL2	344752	arylacetamide deacetylase like 2	AADACL2		9606	HGNC:24427
AADACL3	126767	arylacetamide deacetylase like 3	AADACL3		9606	HGNC:32037
AADACL4	343066	arylacetamide deacetylase like 4	AADACL4		9606	HGNC:32038
AADAT	51166	aminoadipate aminotransferase	AADAT	KAT2, KATII, KYAT2	9606	HGNC:17929
AAGAB	79719	alpha and gamma adaptin binding protein	AAGAB	KPPP1, PPKP1, PPKP1A, p34	9606	HGNC:25662
AAK1	22848	AP2 associated kinase 1	AAK1		9606	HGNC:19679
AAMDC	28971	adipogenesis associated Mth938 domain containing	AAMDC	C11orf67, CK067, PTD015	9606	HGNC:30205
C11ORF67	28971	adipogenesis associated Mth938 domain containing	AAMDC	C11orf67, CK067, PTD015	9606	HGNC:30205
AAMP	14	angio associated migratory cell protein	AAMP		9606	HGNC:18
AANAT	15	aralkylamine N-acetyltransferase	AANAT	DSPS, SNAT	9606	HGNC:19
AAR2	25980	AAR2 splicing factor	AAR2	C20orf4, CGI-23	9606	HGNC:15886
C20ORF4	25980	AAR2 splicing factor	AAR2	C20orf4, CGI-23	9606	HGNC:15886
AARD	441376	alanine and arginine rich domain containing protein	AARD	C8orf85	9606	HGNC:33842
AARS	16	alanyl-tRNA synthetase 1	AARS1	AARS, CMT2N, DEE29, EIEE29	9606	HGNC:20
AARS2	57505	alanyl-tRNA synthetase 2, mitochondrial	AARS2	AARSL, COXPD8, LKENP, MT-ALARS, MTALARS	9606	HGNC:21022
AARSD1	80755	alanyl-tRNA synthetase domain containing 1	AARSD1	AlaXp	9606	HGNC:28417
AASDH	132949	aminoadipate-semialdehyde dehydrogenase	AASDH	ACSF4, LYS2, NRPS1098, NRPS998	9606	HGNC:23993
AASDHPPT	60496	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	AASD-PPT, ACPS, CGI-80, LYS2, LYS5	9606	HGNC:14235
